Business_Name,Address_City,Business_Category,Business_SubCategory,Approx_Foot_Traffic_Level,Example_Competitor_Names,Address_Area_Locality
Bistro Plaza Bangalore,Bangalore,Coffee Shop,Bistro,Low,Cafe Coffee Day,City Center
Wholesale Center Pune,Pune,Supermarket,Wholesale,High,D-Mart,Mall Area
Wholesale World Mumbai,Mumbai,Supermarket,Wholesale,Low,Big Bazaar,Downtown
Boutique Point Bangalore,Bangalore,Hotel,Boutique,Medium,Taj,City Center
CrossFit Hub Hyderabad,Hyderabad,Gym,CrossFit,Very High,Anytime Fitness,Downtown
Cafe Center Kolkata,Kolkata,Coffee Shop,Cafe,High,Cafe Coffee Day,City Center
Beauty Salon Center Mumbai,Mumbai,Salon,Beauty Salon,Very High,Toni&Guy,Suburb
Cafe World Ahmedabad,Ahmedabad,Coffee Shop,Cafe,High,Starbucks,Downtown
Fitness Center Center Mumbai,Mumbai,Gym,Fitness Center,Very High,Gold's Gym,Mall Area
Hair Salon Center Bangalore,Bangalore,Salon,Hair Salon,High,Lakme,Near Airport
CrossFit World Kolkata,Kolkata,Gym,CrossFit,Very High,CultFit,Near Airport
Yoga Studio Center Delhi,Delhi,Gym,Yoga Studio,Medium,Anytime Fitness,Downtown
Fitness Center Hub Chennai,Chennai,Gym,Fitness Center,Very High,Gold's Gym,Suburb
CrossFit Hub Bangalore,Bangalore,Gym,CrossFit,Low,CultFit,Mall Area
Multispeciality Point Bangalore,Bangalore,Hospital,Multispeciality,High,Manipal,Downtown
Casual Dining Center Kolkata,Kolkata,Restaurant,Casual Dining,Very High,McDonald's,City Center
Spa World Pune,Pune,Salon,Spa,Medium,Naturals,Mall Area
Used Books Center Chennai,Chennai,Bookstore,Used Books,Medium,Crossword,Downtown
Wholesale World Ahmedabad,Ahmedabad,Supermarket,Wholesale,Low,Reliance Fresh,Mall Area
Fitness Center Hub Pune,Pune,Gym,Fitness Center,Low,CultFit,Downtown
Fast Food Plaza Ahmedabad,Ahmedabad,Restaurant,Fast Food,Medium,Dominos,City Center
Bistro Center Pune,Pune,Coffee Shop,Bistro,Low,Cafe Coffee Day,Downtown
